"cafe_num","cafe_name","cafe_img","cafe_addr","cafe_menu","cafe_time","cafe_detail"
1,알디프 티 바,0,서울특별시 마포구 와우산로35길 19,시즌 티 코스 (시즌별로 달라지는 알디프의 시그니처 5 티 코스),"11:00 ~ 21:00",다양한 티를 즐길 수 있는 티 코스 카페
2,버터밀크,1,서울특별시 마포구 와우산로 130,리코타 치즈 팬케익 세트,"10:00~17:00 (재료 소진시 영업종료)",버터향 가득 팬케이크 전문점
3,제로카페,2,서울특별시 마포구 와우산로27길 17,커피,"09:00~22:00 (21:50 라스트오더)",설탕 제로! 무설탕 디저트 신상카페
4,피아노 카페(piano cafe),3,서울특별시 마포구 와우산로23길 18-5,아메리카노,"12:00~21:00",분위기 있고 아늑한 카페
5,필로베이커리,4,서울특별시 마포구 홍익로2길 27-22,뉴욕롤,"12:30~21:00",무설탕 디저트로 건강과 맛을 한번에!
6,연남다방,5,서울특별시 마포구 연희로1길 36,우유 쌀케이크,"13:00 - 22:00",연남동에 위치한 유기농 쌀가루로 만든 맛있는 디저트카페이다
7,작당모의,6,서울특별시 마포구 동교로32길 19,작당모의플레이트 / 작당모이 볼케이크,"12:00 ~ 21:00",로맨틱한 데이트에 완벽한 곳!
8,딥커피,7,서울특별시 마포구 동교로 209,일리터아메리카노,"07:00 - 02:00",반려견 출입이 가능한 힙한 홍대입구 카페
9,차차티클럽,8,서울특별시 마포구 동교로30길 6 연트럴타워,백차,"13:00 ~ 22:00","차차티클럽은 차 전문점으로 백차, 우롱차, 홍차, 보이숙차 등 다양한 차를 즐길 수 있다"
10,"943 킹스크로스CAFE",9,서울특별시 마포구 양화로16길 24,드래곤 레그 플레이트,"11:30 - 21:30 (금~일 10:00~21:30)",이색 데이트하기 좋은 홍대 해리포터 카페
11,랜디스도넛 연남점,10,서울특별시 마포구 동교로 247 보나바시움(BONABASIUM),도넛,"11:00~21:00(라스트 오더 20:30)",아이언맨에 나온 도넛 맛집
12,연남장,11,서울특별시 서대문구 연희로5길 22,바질페스토 뇨끼,카페 11:00 - 21:00 / 식당 11:30 - 15:00 (15:00 - 17:00 브레이크 타임),브런치와 커피를 즐길 수 있는 연희동 카페
13,제비다방,12,서울특별시 마포구 와우산로 24,아메리카노,"10:00 ~ 02:00 (전화문의)",무대가 있는 곳
14,꿀넹쿠키,13,서울특별시 마포구 동교로 255-1,초코월넛 / 오트밀씨드베리,"12:00 ~ 22:00",수제비건쿠키를 맛볼 수 있는 곳
15,삼다코지,14,서울특별시 마포구 독막로9길 34,"제주 사계절 블렌딩 티세트, 우도 땅콩 아포가토, 핸드드립커피","11:00 ~ 23:00 (라스트오더 22:00)",도심 속 제주를 느낄 수 있는 제주삼다수 플래그십스토어
16,피오니,15,서울특별시 마포구 독막로7길 51,딸기 생크림 케이크,"12:00 ~ 22:00",합정역에 있는 딸기 생크림 케이크 카페
17,비하인드(B-hind),16,서울특별시 마포구 어울마당로5길 18,"샌드위치, 케익, 커피, 와인","13:00~22:00",아날로그적인 느낌의 공간 이미지와 컨셉을 담고있는 카페
18,시도 플레이스,17,서울특별시 서대문구 연희맛로 7-7,당보충 크루아상 / 거꾸로 호떡 크루아상,"12:00 ~ 21:00",감각적인 공간에서 감각적인 시간을
19,얼스어스,18,서울특별시 마포구 성미산로 150,아메리카노,월~목 12:00 ~ 19:00금~일 12:00 ~ 21:00,Earth Us
20,카페 레이어드 연남점,19,서울특별시 마포구 성미산로 161-4,홈메이드 플레인 스콘,"11:00 - 22:00",유럽의 무드를 느낄 수 있는 연남동 카페
21,커피상점 이심,20,서울특별시 마포구 잔다리로7길 18,터키식 커피,"13:00 ~ 21:00",좋은 음악과 함께 향긋한 커피
22,파롤앤랑그,21,서울특별시 마포구 성미산로29안길 8,옥수수파이 / 바질토마토파이,"13:00 ~ 21:00",네모난 파이가 귀엽고 맛있는 연남동 디저트 카페
23,라뽀즈,22,서울특별시 마포구 양화로6길 60,비건케이크,월~토 12:00 ~ 22:00 / 일요일 13:00 ~ 21:00,"라뽀즈는 버터, 밀가루, 계란, 우유, 생크림 없이 식물성 재료만을 사용하여 만드는 비건 케이크 전문점이다"
24,어반플랜트 합정,23,서울특별시 마포구 독막로4길 3,커피,"10:00 - 22:00",편안하고 여유있는 커피와 브런치
25,피터팬1978,24,서울특별시 서대문구 증가로 10,아기궁댕이,"08:00 - 21:00","30년 전통의 연희동 빵집"
26,앤트러사이트 연희점,25,서울특별시 서대문구 연희로 135,커피,"09:30 ~ 22:00",독특하고 강렬한 인테리어의 연희동 카페
27,로덴드론 연희점,26,서울특별시 서대문구 연희로25길 82,모카블랑,"08:00 - 23:00",자체 로스팅한 신선한 커피를 즐길 수 있는 카페
28,콘하스 연희점,27,서울특별시 서대문구 연희동,"에스프레소, 아메리카노, 카페라떼","10:00 - 23:00 / 일요일 10:00 - 22:00",인스타 감성의 연희동카페
29,비파티세리 공덕점,28,서울특별시 마포구 마포대로14길 4,퀸아망 클래식,"10:00~22:00",개방감 있는 공간에서 빵을 즐기는 카페
30,브래디스커피,29,서울특별시 마포구 성미산로23안길 23,브래디스 아인슈페너,"11:30 ~ 19:00",빈티지한 인테리어
31,땡스오트 연남,30,서울특별시 마포구 성미산로23길 68,넛츠판타지,"11:00 - 20:00",전통 유기농 방식을 통한 건강하고 맛있는 연남동 카페
32,빈브라더스 합정,31,서울특별시 마포구 토정로 35-1,드립커피,"11:00~21:00",커피가 맛있는 합정동 힙한 카페
33,포비 베이직,32,서울특별시 마포구 양화로3길 66,플레인 베이글,"평일 11:00 ~ 22:00 (라스트 오더 21:00), 주말 10:30 ~ 22:00 (라스트 오더 21:20)",사진 찍기 좋은 합정역 베이글 카페
34,키다리아저씨,33,서울특별시 마포구 성미산로 22,빵 / 케이크 / 커피,"08:30 ~ 21:00","※ 영업시간 08:30 ~ 21:00

서울 마포구 성미산로에 위치한 커피, 베이커리 전문점이다"
35,보틀라운지,34,서울특별시 서대문구 홍연길 26,"아메리카노, 브런치","10:00 ~ 21:00",보틀라운지 카페는 보틀팩토리의 첫번째 프로젝트로 만들어진 카페이다
36,레스피레,35,서울특별시 마포구 월드컵로13길 55-24,아인슈페너,매일 12:00~22:00,망원동에서 만나는 유럽 감성
37,어글리베이커리,36,서울특별시 마포구 월드컵로13길 73,말차 맘모스,"12:00~21:00","망원동 빵지순례, 맘모스 맛집"
38,mtl 효창,37,서울특별시 용산구 효창원로69길 25 송원빌딩,필터커피,매일 08:00 ~ 21:00,보난자 커피를 맛볼 수 있는 애견동반카페
39,카페미우,38,서울특별시 용산구 새창로14길 7,핸드드립 커피,"11:00~21:00",감성 핸드드립 카페
40,다과상사,39,서울특별시 용산구 백범로 291,아메리카노 / 바닐라빈 라떼,"0700 ~ 20:00",빈티지하고 다채로운 디저트카페
41,카페 폭포,40,서울특별시 서대문구 연희로 262-24,아메리카노,- 카페 운영시간11:00~22:00- 인공폭포 운영시간4월~10월 09:00~19:006월~8월 08:00~20:00,시원한 폭포수가 흐르는 도심 속 휴식처
42,카페인신현리 아티장가든,41,서울특별시 용산구 한강대로 405 서울역(철도역),랜치 샐러드 / 크래프트 치즈 플레이드,"11:00 ~ 22:00","카페인신현리 아티장 가든은 다채로운 푸드와 크래프트 비어, 그리고 스페셜 티 커피를 만날 수 있는 곳으로 싱그러운 초록이 가득하다"
43,오츠커피 용산점,42,서울특별시 용산구 원효로89길 13-12,"아인슈페너, 오츠라떼","월~금 11:00 ~ 20:00, 19:30 라스트오더 / 토~일 12:00 ~ 20:00, 19:30 라스트오더",천상의 맛 아인슈페너의 새로운 경험
44,스태픽스,43,서울특별시 종로구 사직로9길 22,파운드 케이크,"10:00 ~ 21:00",서울 종로구 서촌 언덕 위에 위치
45,내자상회,44,서울특별시 종로구 사직로10길 3,"쑥절미 카스테라, 흑임자 카스테라, 인절미 카스테라, 내자 모나카, 쑥라떼 등","10:00~22:00",힙한 한옥에서 쑥 디저트 한 상 맛보자 !
46,마뫼,45,서울특별시 중구 소파로 41,"쑥라떼, 자색고구마라떼","11:00 - 22:00",커피와 함께 자연을 느낄 수 있는 카페 마뫼
47,인왕산 대충유원지,46,서울특별시 종로구 필운대로 46,"필터커피, 카페라테, 거봉녹차, 말차, 밀크우롱차","12:00 ~ 22:00 (21:30 라스트오더)",인왕산 뷰와 와인을 함께 즐기는 카페
