"place_num","place_name","place_img","place_addr","place_time","place_detail"
1,서울도서관,0,서울특별시 중구 세종대로 110,"[일반자료실, 디지털자료실, 장애인자료실]
평일 09:00 ~ 21:00, 주말 09:00 ~ 18:00
[서울자료실, 세계자료실]
평일 09:00 ~ 18:00, 주말 09:00 ~ 18:00
 ※ 매일 14:00 ~ 14:30 자료실 소독 및 환기(퇴관 및 입자울가)",책이 보물이 되는 복합문화공간
2,시민청,1,서울특별시 중구 세종대로 110,동절기(11월~2월) : 09:00~20:00하절기(3월~10월) : 09:00~21:00,"수준 높은 공연과 전시를 부담 없이 즐기고 이웃들과 마을 모임을 열 수 있으며, 서울 시정에 참여할 수 있는 공간"
3,서울광장,2,서울특별시 중구 세종대로 110,문의바람,역사적 무대에서 시민의 공간으로
4,서울도시건축전시관,3,서울특별시 중구 세종대로 119,"10:00~18:00 (입장 마감 17:30)","서울의 어제를 조명, 오늘을 기록하며 미래를 만들어가는 공간"
5,서울광장 스케이트장,4,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,"일~목 10:00 - 21:30금,토,공휴일 10:00 - 23:00","2004년에 조성된 '서울광장'은 보름달을 연상시키는 타원형의 잔디광장으로 연중 공연, 전시 등 다양한 문화행사가 펼쳐지는 시민들을 위한 공간이다"
6,경성 부민관 폭탄 의거지,5,서울특별시 중구 세종대로 125,문의바람,민족의 독립의지를 보여주는 곳
7,대한성공회 서울주교좌성당,6,서울특별시 중구 세종대로21길 15,"11:00~16:00 (주말은 전화문의)",로마네스크 양식에 한국 전통 건축 기법을 사용한 성당
8,환구단,7,서울특별시 중구 소공로 112,문의바람,천자가 하늘에 제사드리는 제천단
9,덕수궁,8,서울특별시 중구 세종대로 99,"입장시간 : 09:00~20:00
관람시간 : 09:00~21:00
※ 야간 개방 오후 21:00 까지
※ 매주 월요일 휴궁",그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ②
10,조선일보미술관,9,서울특별시 중구 세종대로21길 33,"10:00~18:00 (전시에 따라 다름)",수준 높은 전시와 새로운 미술 문화의 영역을 확대시키는 곳
11,덕수궁 대한문,10,서울특별시 중구 세종대로 99,덕수궁 관람시간 09:00~21:00(입장 마감 20:00),덕수궁의 정문인 대한문
12,덕수궁 돌담길,11,서울특별시 중구 세종대로 지하 101,상시 가능,낭만이 가득한 덕수궁 돌담길
13,신한은행 한국금융사박물관,12,서울특별시 중구 세종대로 135-5,"10:00~18:00 ( ※ 17시까지 입장마감)",한국금융사박물관은 우리나라 금융 발전사에 대한 이해를 돕고자 1997년 신한은행이 설립한 국내 최초의 금융사 전문 박물관이다
14,국립현대미술관 덕수궁,13,서울특별시 중구 세종대로 99,"화,목,금,일 10:00~19:00 
수,토 10:00~21:00 (야간개장) 
※ 입장시간 : 관람종료 1시간 전까지 가능
※ 전시에 따라 변동 가능",고궁 속 미술관
15,롯데호텔 실내수영장,14,서울특별시 중구 을지로 30,"06:00~22:00",최상의 수질을 자랑하는 수영장
16,청계광장,15,서울특별시 중구 청계천로 8,"00:00 - 24:00",자연 친화적인 생태환경을 갖춘 광장
17,정동전망대,16,서울특별시 중구 덕수궁길 15,매주 주말 09:00~17:30 (입장 마감 17:00),"정동전망대는 서울시청 서소문 청사 13층에 위치해있으며, 전망대 안에는 카페가 있어 음료를 즐길 수 있다"
18,호텔롯데 휘트니스클럽,17,서울특별시 중구 을지로 30,"24시간
(영업종료(22:30) 후 이용시 객실카드를 소지하고 당직데스크(02-759-7394)로 문의 후 이용)","데호텔 서울 메인타워 4층에 위치한 피트니스 센터는 PT Studio, GX Studio 등의 최신 시설을 갖추고 있다"
19,롯데호텔서울 설화수 스파,18,"서울시 중구 을지로 30 롯데호텔 3, 4층","10:30~21:00",마음의 안정
20,일민미술관,19,서울특별시 종로구 세종대로 152,"화~일/공휴일 11:00~19:00
※ 개관시간은 전시에 따라 변경 가능",일민미술관은 평생을 언론과 문화진흥에 바친 일민 김상만선생(전 동아일보 명예회장)의 유지를 기리는 일민문화재단에서 운영한다
21,신문박물관,20,서울특별시 종로구 세종대로 152,화요일~일요일 10:00~18:30 (매표마감 18:00)※일민미술관 기획전 기간 30분 연장 운,Presseum
22,정동1928아트센터,21,서울특별시 중구 덕수궁길 130,"09:00~18:00 (브레이크타임 12:00 ~ 13:00)",다양한 문화예술 활동을 선보이는 복합문화공간
23,하이커 그라운드,22,서울특별시 중구 청계천로 40 한국관광공사 서울센터,"1층, 5층
월~일 09:00~20:00
2층~4층
화~일 10:00~19:00
※ 운영시간 종료 20분전까지 입장 가능",실감체험이 가능한 멀티버스 한국관광 랜
24,위라이드 서울전차,23,서울특별시 중구 청계천로 40 한국관광공사 서울센터,"- 월요일, 금요일, 토요일, 일요일 10:25~19:00(총 8회)
- 목요일 15:25~19:00(4회만 운영)",서울을 만나는 색다른 방법
25,서울시립미술관(서소문본관),24,서울특별시 중구 덕수궁길 61,"하절기(3~10월) 10:00~20:00 (토·일·공휴일 19:00까지)
동절기(11~2월) 10:00~20:00 (토·일·공휴일 18:00까지)
※ 뮤지엄나이트 운영 : 매월 둘째주 수요일, 마지막 주 수요일) 22:00까지 연장 개관
※ 관람종료 1시간 전까지 입장 가능",고궁이 품은 르네상스의 신세계
26,국립 정동극장,25,서울특별시 중구 정동길 43,공연별로 다름(홈페이지 참조),시민들의 이웃과 같은 생활 속의 열린 문화공간
27,중명전,26,서울특별시 중구 정동길 41-11,"[입장시간] 09:30~17:00
[관람시간] 09:30~17:30","덕수궁(德壽宮) 돌담길을 돌아 뒤쪽으로 가면 현재 정동극장이 있고, 그 골목으로 들어가면 '중명전(重明殿)'이 있다"
28,(주)교보문고,27,서울특별시 종로구 종로 1,"09:30~22:00","민교육진흥의 실천적 구현, 독서인구 저변확대"
29,정동교회 이필주 사택 터,28,서울특별시 중구 정동길 46,문의바람,이필주 목사의 사택이 있던 곳
30,서울 정동교회,29,서울특별시 중구 정동길 46,문의바람,유일하게 남아있는 19세기 교회 건물
31,서울 종로 낙지볶음 골목,30,서울특별시 종로구 종로 19,문의바람,맛있는 세월의 향기가 도는 곳
32,화폐박물관,31,서울특별시 중구 남대문로 39,매주 화요일~일요일 10:00 ~ 17:00,서울 중구 중심에 위치한 흰색 바탕의 르네상스식 석조건물인 화폐박물관은 우리나라를 대표하는 중앙은행 박물관으로 건물이 국가중요문화재(사적 280호)로 지정되어 있다
33,배재학당역사박물관,32,서울특별시 중구 서소문로11길 19,"10:00 ~ 17:00","1885년 미국인 선교사 아펜젤러(Henry Gerhart Appenzeller, 1858~1902)가 세운 한국 최초의 서양식 근대교육기관이다"
34,주한영국문화원,33,서울특별시 중구 서소문로11길 19,"평일 12:00 - 19:30 공휴일 제외
주말 09:30 - 18:30","영국문화원은 교육, 문화, 과학기술 분야에서의 대외협력을 위한 영국정부의 공식기관의 역할을 수행하는 비영리 기관으로 1973년 8월 서울에 설립되어, 영국유학안내, 어학센터, 각종 영국 시험 운영 등의 서비스 및 문화예술, 과학기술, 영어교육 및 교육 전반에 대한 다양한 프로젝트와 교류 프로그램을 제공하고 있다"
35,이화여고100주년기념관,34,서울특별시 중구 정동길 26,공연 및 행사 별 상이,서울 중구 정동길 이화여고 동문 옆에 있는 이화여고 100주년기념관은 1975년의 화재로 철거된 프라이홀(Frey Hall) 자리에 건립한 교육관이다
36,롤파크,35,서울특별시 종로구 종로 33,매일 11:00 ~ 20:00,대한민국 최대 규모의 롤 대회가 개최되는 공간
37,명동난타극장,36,서울특별시 중구 명동길 26,홈페이지 참고,대한민국 대표 문화상품인 넌버벌(Non-Verbal) 퍼포먼스 '난타'가 12주년을 맞아 쇼핑관광의 중심 명동에 난타전용극장을 열었다
38,명동예술극장,37,서울특별시 중구 명동길 35,공연시간에 따라 다름,명동예술극장은 '옛 명동 국립극장'으로 쓰였던 건물을 복원하여 새롭게 탄생한 연극 전문 공연장이다
39,서울 구 러시아공사관,38,서울특별시 중구 정동길 21-18,문의바람,"대한제국의 길을 따라 - 고종의 길, 구 러시아공사관"
