"rest_num","rest_name","rest_img","rest_addr","rest_menu","rest_time","rest_detail"
1,이북만두,0,서울특별시 중구 무교로 17-13,손만두 / 김치말이밥,"09:00 ~ 21:00",서울 무교동 서울시청 뒤 골목에 위치하며 대표적인 음식은 평양식 손만두와 김치말이밥이다. 고소한 참기름 냄새가 어우러진 차가운 김칫국에 밥이 말아져 나오는 김치말이밥은 원래 북한 음식이다. 그 밖에 만두전골과 빈대떡도 먹음직스럽다.
2,달개비,1,서울특별시 중구 세종대로19길 16,손님맞이 특별 상차림,"07:30 ~ 21:30 (토요일 10:00 ~ 21:30)","예쁜 그릇에 음식이 담겨 나오는 한식집으로 막걸리와 대나무밥이 주메뉴이다. 옛날 방식으로 담근 막걸리를 잔에 부으면 누룩 냄새가 코 끝을 간지른다. 통대나무에 수수, 조, 찹쌀, 콩 등을 넣어 지은 대나무밥을 푸면 대나무향이 은은하게 배어난다."
3,[백년가게]명동칼국수,2,서울특별시 중구 을지로 지하 12,명동칼국수,"주중 10:00~21:00토요일, 공휴일 10:00~20:00",사골육수를 곁들인 칼국수를 맛볼 수 있는곳
4,참숯골,3,서울특별시 중구 무교로 16,꽃등심 / 생갈비,"11:00~22:00 (브레이크타임 14:30~17:00)",숯의 향과 좋은 고기의 맛을 그대로 느낄 수 있는 식당
5,라칸티나,4,서울특별시 중구 을지로 19,파스타,"11:30 ~ 22:00 (브레이크 타임 15:00 ~ 17:00)",한국 최초의 이탈리안 레스토랑
6,대상해,5,서울특별시 중구 세종대로 135,주말코스,"11:30~22:00 (브레이크타임 15:00~17:00)",사천식에 북경식을 가미한 독특한 북경 사천요리
7,낙동강,6,경상북도 구미시 남구미로,식사,문의바람,영남의 젖줄이자 남한에서 가장 긴 강 낙동강
8,곰국시집,7,서울특별시 중구 무교로 24,곰국시,"11:00 ~ 21:30",고소한 양지수육과 부드러운 전골국수
9,무교동 북어국집,8,서울특별시 중구 을지로1길 38,북어해장국,평일 07:00 ~ 20:00 주말 및 공휴일 07:00 ~ 15:00,뜨끈하고 든든한 한끼를 먹을 수 있는 북어해장국 맛집
10,메이징에이,9,서울특별시 중구 세종대로 136,메이징 덕,"11:30 ~ 22:00 (브레이크타임 15:00 ~ 17:00)",광화문 광동요리 전문 고급스러운 중식당
11,디라이프스타일키친 광화문점,10,서울특별시 중구 세종대로 136 파이낸스빌딩,로얄 명란 김퓨레,"11:20~22:00 (15:30~17:00 브레이크 타임)",건강하고 맛있는 음식을 즐길 수 있는 광화문 레스토랑
12,붓처스컷 광화문점,11,서울특별시 중구 세종대로 136 파이낸스빌딩,한우뉴욕스트립,"11:30 ~ 21:00",광화문에서 즐길 수 있는 고급진 스테이크요리
13,부민옥,12,서울특별시 중구 다동길 24-12,육개장,"11:00 ~ 22:00 (브레이크타임 14:00~17:00)",미식가들의 인기를 한몸에
14,마이시크릿덴,13,서울특별시 중구 덕수궁길 9,모호 드립백 셀프 서비스,"09:00 ~ 22:00",바쁜 도심 속에서 사색의 여유를 찾다
15,초류향,14,서울특별시 중구 다동길 24-10,삼선누룽지탕,"11:00 ~ 22:00 (브레이크타임 15:00 ~ 17:00)",한국인의 입맛에 맞는 중국요리를 선보이는 중식당
16,산채향,15,서울특별시 중구 청계천로 8,더덕구이정식,"11:00~22:00",향긋한 더덕향이 가득한 음식점
17,용금옥,16,서울특별시 중구 다동길 24-2,추탕,"11:00 ~ 22:00 ( 주말 및 공휴일 11:00 ~ 20:00)","양,곱창 등을 밤새 고아낸 진국에 두부, 유부, 파, 양파, 느타리버섯, 목이버섯, 각종 양념을 넣어 다시 끓인 후 미리 삶아 두었던 미꾸라지를 통째로 넣어 끓인다. 얼큰하고 구수한 맛에 통째로 씹는 묘미가 있다. (손님을 위하여 갈아서도 판매를 함) 경상도, 전라도식 추어탕과 전혀 다른 서울식 추어탕을 맛볼 수 있다."
18,동해도 광화문,17,서울특별시 중구 무교로 28,회전초밥 무제한(1시간),"11:30~22:00 (브레이크타임 15:00~17:00 / 라스트오더 20:00)",신선한 재료로 만드는 회전 초밥 전문점
19,루이,18,서울특별시 중구 세종대로21길 40,소고기자장면,"11:30 ~ 21:30 (브레이크타임 14:30 ~ 17:30)",전문가의 손길로 더 맛있는 중식
20,홍연,19,서울특별시 중구 소공로 106,불도장,"12:00~22:00 (브레이크타임 15:00~18:00)",미쉐린 가이드 서울 2023 선정 차이니즈 레스토랑
21,아리아,20,서울특별시 중구 소공로 106,뷔페,월요일 ~ 목요일 11:30 ~ 21:30금요일 ~ 일요일 11:30 ~ 21:50,깔끔하고 다양한 음식을 한번에 즐길 수 있는 곳
22,스시조,21,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,초밥,평일 07:00-22:00 / 주말 12:00-22:00,최고의 초밥을 위한 선택
23,모모야마,22,서울특별시 중구 을지로 30,도미머리정식 / 도시락정식,"11:30 ~ 22:00",국내 최고 수준의 스시와 카이세키 요리를 선보이는 곳
24,피에르 가니에르,23,서울특별시 중구 을지로 30,코스요리,"12:00 ~ 22:00 (브레이크타임 15:00 ~ 18:00)","※ 영업시간 12:00 ~ 22:00 (브레이크타임 15:00 ~ 18:00)

미슐랭 3스타 셰프로 세계적으로 유명한 ‘피에르 가니에르’의 이름을 건 <피에르 가니에르 서울>은 2008년 10월 1일, 파리, 도쿄, 홍콩에 이어 서울에 4번째 오픈했다. 피에르 가니에르는 세계 100대 셰프 중 1위로 선정되었으며, 혁신적이고 다양한 조리법과 독특하고 예술적인 감각이 돋보이는 프렌치 퀴진(FRENCH CUISINE)을 제공한다."
25,장안삼계탕,24,서울특별시 중구 세종대로18길 8,삼계탕 / 오골계,"09:00 ~ 21:00(라스트오더 20:30)","※ 영업시간 09:00 ~ 21:00 (라스트오더 20:30)

태평로에 위치한 장안삼계탕은 40년 넘는 전통이 있는 곳이다. 삼계탕의 명문으로 자리 잡은 이곳은 3층 규모로 좋은 재료만 엄선해서 사용한다. 영계만으로 삼계탕을 끓여내 국물은 기름기가 적고 고소하고 담백하며 닭 냄새가 나지 않는 것도 이 집만의 특징이다. 간을 하는데 쓰는 소금도 곱게 간 후추를 넣고 볶아서 만든 천일염만을 쓴다. 밑반찬으로 나오는 깍두기 맛도 일품이다."
26,다동 황소막창,25,서울특별시 중구 을지로3길 49,소막창,"17:00~23:00 (라스트오더 22:00)",하루를 스트레스를 날려버리는 곳
27,오양회참치,26,서울특별시 중구 세종대로21길 49,참다랑어회,월~금요일 11:30~23:00토요일 11:30~21:00,입안 가득 풍미로운 만족을 느낄 수 있는 참다랑어회
28,인천집,27,인천광역시 중구 우현로67번길 53,삼치구이,월-목 14:00 ~ 23:50금-일11:00 ~ 23:50,저렴한 가격의 생선구이
29,청키면가 무교점,28,서울특별시 중구 다동길 33,새우완탕면,"11:30 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 (평일만)",홍콩 본토의 요리를 맛보는 곳
30,남포면옥,29,서울특별시 중구 을지로3길 24,냉면 / 갈비탕,주중 11:30~22:00주말 11:30~21:00,미쉐린 가이드에 선정된 냉면 맛집
31,베테랑칼국수 롯데백화점본점,30,서울특별시 중구 을지로 30,칼국수,"10:30 ~ 20:30",최고의 칼국수로 유명한 베테랑 칼국수
32,광화문국밥,31,서울특별시 중구 세종대로21길 53,돼지국밥,"11:00~21:40 (14:30 ~ 17:30 브레이크 타임)",뜨끈한 돼지국밥을 즐길 수 있는 광화문 맛집
33,전주유할머니비빔밥,32,서울특별시 중구 세종대로14길 27-2,전주비빔밥,"10:00~22:00",오랜 전통의 한식 전문점
34,대복,33,서울특별시 중구 세종대로14길 22,복매운탕 /  참복지리 / 된장지리,"11:30 ~ 22:00 (브레이크 타임 15:00~17:00)","1970년대 장안을 돌며 복지리의 참맛을 전파해온 김종수 조리장이 45년 장인정신으로 직접 요리하는 북창동 대복집이다. 시원한 국물맛과 쫄깃하고 담백한 맛이 특징이다."
35,삼성 빨간양념 숯불구이,34,서울특별시 중구 남대문로1길 39,생고기 주물럭,"11:30 ~ 23:30",북창동 빨간 주물럭 맛집
36,현대칼국수,35,서울특별시 중구 세종대로 76,칼국수,"09:00 ~ 21:00 (토요일 09:00 ~ 19:00)","2대째 칼국수를 전문으로 다루고 있는 음식점"
37,진동횟집,36,서울특별시 중구 세종대로14길 18,잡어회 세꼬시 / 산우럭탕,"11:00 ~ 22:30 (브레이크타임 14:00 ~ 16:30)",세꼬시 푸짐하게 나오는 진동횟집
38,전주회관,37,서울특별시 중구 세종대로14길 32-1,전주곱돌비빔밥,"08:30~22:30",오랜 전통을 이어온 한국 민속음식점
39,미진,38,서울특별시 종로구 종로 19,메밀국수(냉·온·비빔),"10:30 ~ 21:00",피맛골의 66년 전통 메밀국수집
40,멜팅샵X치즈룸,39,서울특별시 종로구 종로3길 17 D타워,산 세바스챤 오리지널,"10:30~22:00",이탈리안과 아메리칸 요리
41,서린낙지,40,경기도 수원시 영통구 동수원로 515,낙지모음요리,화~일 11:00 ~22:00,영통구 낙지요리 전문점
42,너비집,41,서울특별시 중구 명동9길 37-8,매운갈비찜,"11:00~21:30",고품격 매운갈비찜
43,신승관,42,서울특별시 종로구 종로 19 르메이에르종로타운1,중화요리,"11:00 ~ 23:00",정통 중국요리의 진수
44,흑돈가 명동,43,"서울특별시 중구 명동7길 21, 지하1층",흑돼지목살구이,평일 11:30 ~ 22:00 (브레이크타임 15:00 ~ 17:00 / 라스트오더 21:00)  주말 11:30 ~ 21:00 (브레이크타임 15:00 ~ 17:00 / 라스트오더 20:00),서울특별시 명동에 있는 바비큐 전문점이다. 대표메뉴는 흑돼지 목살구이이다. 제주도산 흑돼지고기를 판매한다.
45,청송옥,44,서울특별시 중구 서소문로11길 14,장터국밥,"10:00 ~ 22:00",쇠고기 장터국밥의 오랜된 대표 맛집
46,진주회관,45,서울특별시 중구 세종대로11길 26,콩국수,주중 11:00~21:00주말 11:00~20:00,"1962년 개업이래 3대째, 60년 동안 이어온 냉콩국수 전문점"
47,뽐모도로,46,서울특별시 종로구 새문안로9길 19-1,로마풍 스파게티,"11:20 ~ 21:00 (브레이크타임 15:00 ~ 17:00)",신라호텔 양식부에서 16년간 근무한 경력을 가지고 있는 주방장의 요리를 맛볼 수 있는 곳
48,암소서울,47,서울특별시 종로구 새문안로 76 콘코디언(concordian),"종가(런치/디너),반가(런치)",평일 11:30 ~ 22:00 (브레이크 타임15시~18:00 ) 주말 11:00 ~ 22:00 (브레이크 타임15시~18:00 ),암소 전문 광화문 한우 코스요리 전문점
49,명동돈가스,48,서울특별시 중구 명동3길 8,"돈가스(로스가스, 히레가스)","11:00 ~ 21:00",동양 스타일의 돈가스를 만나는 시간
50,명동부대찌개 명동황기족발,49,서울특별시 중구 명동길 25-7,부대찌개 / 황기족발,"10:00 ~ 22:00","명동 유네스코 회관 건너편 TNGT와 버거킹 사이의 골목길 오른쪽 코너 안에 위치한다.
부대찌개란 햄과 소시지를 썰어 넣고 파, 마늘, 양념 고추장 그리고 잘 익은 우리 김치로 얼큰한 국물 맛을 내는 서민들이 부담없이 즐길 수 있는 음식 중의 하나이다.
""부대찌개""와 ""생삼겹살""이 전문인 이 집은 질 좋은 재료만을 사용한다고 한다. 1층과 2층의 넒은 공간을 갖추고 있어 각종 모임과 회식은 물론 외국인과의 식사장소로도 손색이 없다."
51,개화,50,부산광역시 중구 광복로 21,유니짜장,"11:00~22:00",다양한 중국요리를 선보이다
52,탭퍼블릭,51,서울특별시 종로구 종로 33,시그니처 프라이드 치킨,"11:30 ~ 24:00토요일, 일요일 11:30 ~ 23:00","내가 종류를 고르고, 내가 양을 정하는 수제맥주 펍"
53,동경,52,서울특별시 종로구 새문안로9길 28,동경우동,평일 07:00 ~ 22:00/ 주말 10:00 ~ 22:00,"동경은 광화문 세종문화회관 옆에 위치한 2층 규모의 수제 돈가스와 모밀, 우동을 전문으로 하는 식당이다.
대표 메뉴는 겉은 바삭하고 속은 촉촉한 수제 등심 돈가스와 짜지 않고 달콤한 육수의 모밀국수, 진한 국물 맛의 우동이다.
그 외 메밀국수, 회덮밥, 유부초밥도 있어 일식 마니아들에게 사랑받는 식당이다.
평일에는 부담 없는 가격에 만족스러운 한 끼를 할 수 있어 점심시간만 되면 직장인들로 가득하고 주말에는 세종문화회관에 공연을 보기 전 식사하러 오는 사람들이 많다.
지하철 5호선 광화문역 8번 출구 도보 1분 거리에 있다."
54,한라의집,53,서울특별시 종로구 새문안로9길 29-1,회덮밥,"11:30~22:00",광화문 역 근처에 위치한 제주 토속 음식점이다. 제주도에서 직송한 싱싱한 갈치로 만든다.
55,고려삼계탕,54,서울특별시 중구 서소문로11길 1,삼계탕,"10:30 ~ 21:00",미쉐린 가이드 서울 2022에 선정된 고려삼계탕
56,한암동 정동점,55,서울특별시 중구 정동길 21-15 정동빌딩,미경산 한우 암소 곰탕,"11:30~22:00(브레이크 타임 15:00~17:00, 라스트 오더 21:00)",고급스럽고 건강한 한식을 즐길 수 있는 서대문역 맛집
57,청진옥,56,서울특별시 종로구 종로3길 32,해장국,"06:00 ~ 21:00","청진옥은 서울시 종로구 청진동에 자리 잡고 있다. 1937년에 개업했으며, 채널 Olive 예능 프로그램 수요미식회 등 여러 방송을 통해 소개된 바 있다. 대표 메뉴는 소 내장과 소뼈 등을 삶아 육수를 만든 해장국이다. 이 밖에 빈대떡, 모둠 수육을 판다. 음식점은 서울 지하철 5호선 광화문역에서 가깝다. 주변에는 교보문고 광화문점, 광화문광장, 청계천, 서울역사박물관이 있다."
58,상인정신,57,서울특별시 종로구 새문안로5길 11-1,갓 잡은 통 우럭구이,"17:00 ~ 02:00",셰프가 엄선한 신선하고 정성스러운 해물요리가 일품인 식당
59,강서면옥,58,충청북도 보은군 보은읍 동편길 35,메밀냉면(물·비빔),"11:00 ~ 19:00(일몰전까지 영업)","1979년 문을 열어 40년이 넘는 내력을 지닌 평양 메밀 냉면 전문점이다. 메밀의 본고장이라 할 수 있는 강원도 봉평 메밀을 구해 직접 내린 면발과 한우 양지 육수에 맑은 동치미 국물로 간을 맞춰 시원, 깔끔하고 단백한 맛인 정통 평양 메밀 냉면 맛집이다.

1979년 문을 열어 35년이 넘는 내력을 지닌 평양냉면집이다. 슴슴할 정도로 담백한 육수맛과 구수한 냉면사리가 예전의 강서면옥 냉면맛 그대로이고, 육수도 전혀 뼈국이 섞이지 않은 양지 삶은 국물에 맑은 동치미 국물로 간을 맞춰 시원하고 깔끔한 맛이 고지식한 평양냉면맛을 그대로 보여준다."
60,콴쒸이(Guanxi),59,서울특별시 종로구 새문안로 68,코스요리,"11:00 ~ 22:00",중국 현지요리를 맛보는 곳
61,백제삼계탕,60,서울특별시 중구 명동8길 8-10,삼계탕,"09:00 - 22:00",충주 설화 이야기가 내려오는
62,설가온,61,서울특별시 종로구 세종대로 175,한정식 코스요리,"11:30 ~ 21:30 (브레이크타임 15:00 ~ 17:00)",설가온은 서울의 옛말인 '설'과 중심이란 뜻의 순우리말 '가온'을 합친 말이다. 한국의 전통미를 살린 인테리어와 재철의 신선한 재료들로 전국 팔도의 전통음식을 선보이며 13개의 룸과 80~100여 명이 이용 가능한 연회장을 보유하고 있어 다양한 연회행사와 모임의 장소로 이용하기에 좋다. 세종문화회관 지하 1층에 위치하고 있다.
63,친니,62,서울특별시 종로구 세종대로 지하 175,코스요리,"11:30~21:30브레이크 타임 15:00~17:00라스트 오더 20:30",고품격 중화 레스토랑
64,서문회관,63,서울특별시 중구 세종대로11길 47,한우불고기,"11:00-22:00","김치와 비빔밥과 불고기는 한국을 대표하는 음식이다.오늘 소개할 곳은 바로 불고기전골을 주종목으로 하는 한식점 서문회관이다. 1970년 개업해서 우리 한국인들이 가장 즐겨찾는 메뉴인 불고기, 성격이 급한 한국인들에게 일반적으로 일일이 구워서먹는것보다 각종야채와 양념으로 맛을 더한 불고기가 인기 있었던것은 당연한 일일지도 모른다. 조리하면서 양념이 베어 익힌고기에서 나오는 육수는 그 자체만으로도 훌륭한 메뉴라고 할 수 있을 정도이다. 오히려 생고기를 구워서 먹는 것보다 이 양념이 베인 불고기가 외국관광객들에게 인기 있는 것은 당연한 것일지도 모른다. 또한 서문회관에서 즐겨찾는 메뉴가 있으니 전골! 그 푸짐함에 놀라고 두번짼 그맛에 놀란다. 각종 야채와 신선한 재료들 그리고 매운양념까지 얼큰한 맛이 일품이고 아울러 만두김치전골은 서문회관이 자랑하는 메뉴 중 하나이다. 1980년초 과감히 주방을 개방하여 고객들이 직접 조리과정을 볼 수 있도록 하여 그 흥미로움과 위생적인 면에 믿음을 주었으며, 넓은 홀과 각종 모임등을 소화할 수 있는 룸까지 준비되어 있어 직장인 회식이나 비지니스 모임 등에 이용되며 근처 직장인들이 식사와 회식을 겸한 장소로도 많이 이용되고 있다."
65,남문토방,64,서울특별시 중구 남대문시장길 45-3,추어탕,"10:00 ~ 22:00",남대문시장에 자리한 추어탕 맛집
